央视频道,#genre#
CCTV1,http://182.123.78.78:8090/hls/1/index.m3u8
CCTV2,http://221.0.78.26:881/hls/50202/index.m3u8
CCTV3,http://221.0.78.26:881/hls/50203/index.m3u8
CCTV3,http://182.123.78.78:8090/hls/3/index.m3u8
CCTV5,http://182.123.78.78:8090/hls/5/index.m3u8
CCTV6,http://221.0.78.26:881/hls/50206/index.m3u8
CCTV6,http://182.123.78.78:8090/hls/6/index.m3u8
CCTV7,http://221.0.78.26:881/hls/50207/index.m3u8
CCTV7,http://182.123.78.78:8090/hls/7/index.m3u8
CCTV8,http://221.0.78.26:881/hls/50208/index.m3u8
CCTV8,http://182.123.78.78:8090/hls/8/index.m3u8
CCTV11,http://221.0.78.26:881/hls/50211/index.m3u8
CCTV14,http://123.10.79.189:808/hls/14/index.m3u8
CCTV七套,http://58.17.48.228:808/hls/24/index.m3u8
CCTV三套,http://58.17.48.228:808/hls/3/index.m3u8
CCTV九套,http://58.17.48.228:808/hls/16/index.m3u8
CCTV五套,http://58.17.48.228:808/hls/5/index.m3u8
CCTV八套,http://58.17.48.228:808/hls/8/index.m3u8
CCTV十一,http://58.17.48.228:808/hls/11/index.m3u8
CCTV十七,http://58.17.48.228:808/hls/7/index.m3u8
CCTV十三,http://58.17.48.228:808/hls/13/index.m3u8
CCTV十二,http://58.17.48.228:808/hls/12/index.m3u8
CCTV十五,http://58.17.48.228:808/hls/15/index.m3u8
CCTV十四,http://58.17.48.228:808/hls/14/index.m3u8
CCTV十套,http://58.17.48.228:808/hls/10/index.m3u8
CCTV四套,http://58.17.48.228:808/hls/4/index.m3u8
卫视频道,#genre#
东南卫视,http://182.123.78.78:8090/hls/33/index.m3u8
东南卫视,http://58.17.48.228:808/hls/47/index.m3u8
东方卫视,http://221.0.78.26:881/hls/50234/index.m3u8
云南卫视,http://221.0.78.26:881/hls/50248/index.m3u8
云南卫视,http://58.17.48.228:808/hls/46/index.m3u8
兵团卫视,http://58.17.48.228:808/hls/62/index.m3u8
内蒙古卫视,http://221.0.78.26:881/hls/50255/index.m3u8
内蒙古卫视,http://58.17.48.228:808/hls/60/index.m3u8
北京卫视,http://123.10.79.189:808/hls/36/index.m3u8
北京卫视,http://58.17.48.228:808/hls/35/index.m3u8
厦门卫视,http://123.10.79.189:808/hls/69/index.m3u8
吉林卫视,http://182.123.78.78:8090/hls/39/index.m3u8
吉林卫视,http://58.17.48.228:808/hls/56/index.m3u8
四川卫视,http://221.0.78.26:881/hls/50247/index.m3u8
天津卫视,http://123.10.79.189:808/hls/38/index.m3u8
宁夏卫视,http://123.10.79.189:808/hls/59/index.m3u8
宁夏卫视,http://221.0.78.26:881/hls/50256/index.m3u8
安徽卫视,http://123.10.79.189:808/hls/40/index.m3u8
山东卫视,http://123.10.79.189:808/hls/39/index.m3u8
山西卫视,http://123.10.79.189:808/hls/56/index.m3u8
山西卫视,http://182.123.78.78:8090/hls/40/index.m3u8
山西卫视,http://58.17.48.228:808/hls/57/index.m3u8
广东卫视,http://221.0.78.26:881/hls/50238/index.m3u8
广东卫视,http://182.123.78.78:8090/hls/35/index.m3u8
广东卫视,http://58.17.48.228:808/hls/45/index.m3u8
广西卫视,http://123.10.79.189:808/hls/52/index.m3u8
广西卫视,http://182.123.78.78:8090/hls/36/index.m3u8
旅游卫视,http://182.123.78.78:8090/hls/38/index.m3u8
江苏卫视,http://58.17.48.228:808/hls/34/index.m3u8
